nombre,fuera_servicio,zona,area,red,ruta,barra_con,subest_con,barra_con_id,tipo_shunt,Q_nom_Mvar,U_nom_kV,num_pasos,paso_actual,C_uF,L_mH
69 kV Capacitor Puerto Plata 2,0,CIBAO NORTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Puerto Plata 2.ElmSite\69 kV Capacitor Puerto Plata 2.ElmShnt,4,ZPPL2F,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Puerto Plata 2.ElmSite\ZPPL2F.ElmSubstat\4.ElmTerm,2,40.0,69.0,1,1,22.285926818847656,4.774649143218994
34.5 kV Capacitor 1 FALCONDO,1,CIBAO SUR,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Falcondo.ElmSite\34.5 kV Capacitor 1 FALCONDO.ElmShnt,R3,ZFALCK_B,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Falcondo.ElmSite\ZFALCK_B.ElmSubstat\R3.ElmTerm,4,24.95107650756836,34.5,1,1,48.78213882446289,17.700000762939453
34.5 kV Capacitor 2 FALCONDO,1,CIBAO SUR,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Falcondo.ElmSite\34.5 kV Capacitor 2 FALCONDO.ElmShnt,R2,ZFALCK_B,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Falcondo.ElmSite\ZFALCK_B.ElmSubstat\R2.ElmTerm,4,14.984426498413086,34.5,1,1,32.011627197265625,9.100000381469727
34.5 kV Capacitor Agua Clara,1,CIBAO NOROESTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Agua Clara.ElmSite\34.5 kV Capacitor Agua Clara.ElmShnt,Terminal Agua Clara,Agua Clara,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Agua Clara.ElmSite\Terminal Agua Clara.ElmTerm,2,1.0,34.5,6,1,2.22859263420105,4.774649143218994
34.5 kV Capacitor Guanillo,0,CIBAO NOROESTE,NORTE,NORTE 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\34.5 kV Capacitor Guanillo.ElmShnt,Terminal Guanillo,Guanillo,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Terminal Guanillo.ElmTerm,2,0.9599999189376831,34.5,8,8,2.139448881149292,131.551513671875
69 kV Capacitor Cruce de Ocoa,0,SUR CERCANO,SUR,SUR 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\69 kV Capacitor Cruce de Ocoa.ElmShnt,2,ZCOCOF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\ZCOCOF.ElmSubstat\2.ElmTerm,2,20.0,69.0,1,1,11.142962455749512,4.774649143218994
69 kV Duvergé C1,0,SUR PROFUNDO,SUR,SUR 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\69 kV Duvergé C1.ElmShnt,4,ZDUVEF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 69 kV.ElmNet\ZDUVEF.ElmSubstat\4.ElmTerm,2,11.399999618530273,69.0,1,1,6.3514885902404785,526.2059936523438
69 kV Capacitor Haina,0,SUR CERCANO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Haina.ElmSite\69 kV Capacitor Haina.ElmShnt,L4,ZHAINF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Haina.ElmSite\ZHAINF.ElmSubstat\L4.ElmTerm,2,40.0,69.0,1,1,22.285924911499023,4.774649143218994
34.5 kV Capacitor 1 Matafongo,1,SUR CERCANO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Matafongo.ElmSite\34.5 kV Capacitor 1 Matafongo.ElmShnt,Terminal Matafongo,Matafongo,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Matafongo.ElmSite\Terminal Matafongo.ElmTerm,2,5.0,34.5,1,1,11.142962455749512,4.774649143218994
34.5 kV Capacitor 2 Matafongo,1,SUR CERCANO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Matafongo.ElmSite\34.5 kV Capacitor 2 Matafongo.ElmShnt,Terminal Matafongo,Matafongo,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Matafongo.ElmSite\Terminal Matafongo.ElmTerm,2,10.0,34.5,1,1,22.285924911499023,4.774649143218994
34.5 kV Capacitor Girasol,0,SUR CERCANO,SUR,SUR 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Girasol.ElmSite\34.5 kV Capacitor Girasol.ElmShnt,R3,ZGIRAK,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Girasol.ElmSite\ZGIRAK.ElmSubstat\R3.ElmTerm,2,10.0,34.5,3,1,22.285924911499023,4.774649143218994
69 kV Capacitor Arroyo Hondo,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Arroyo Hondo.ElmSite\69 kV Capacitor Arroyo Hondo.ElmShnt,1,ZAHONF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Arroyo Hondo.ElmSite\ZAHONF.ElmSubstat\1.ElmTerm,2,20.0,69.0,1,1,11.142962455749512,4.774649143218994
69 kV Capacitor Herrera Nueva,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Herrera.ElmSite\69 kV Capacitor Herrera Nueva.ElmShnt,R1,ZHNVAF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Herrera.ElmSite\ZHNVAF.ElmSubstat\R1.ElmTerm,2,20.0,69.0,1,1,11.142963409423828,4.774649143218994
69 kV Capacitor Hainamosa,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Hainamosa.ElmSite\69 kV Capacitor Hainamosa.ElmShnt,F5,ZHNSAE,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Hainamosa.ElmSite\ZHNSAE.ElmSubstat\F5.ElmTerm,2,40.0,69.0,1,1,22.285924911499023,4.774649143218994
69 kV Capacitor Pimentel,0,CIBAO NORESTE,NORTE,NORTE 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\69 kV Capacitor Pimentel.ElmShnt,5,ZPIMEF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\ZPIMEF.ElmSubstat\5.ElmTerm,2,9.739999771118164,69.0,1,1,5.4266228675842285,4.774649143218994
69 kV Capacitor Abanico Per,0,CIBAO NORESTE,NORTE,NORTE 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\69 kV Capacitor Abanico Per.ElmShnt,WABANF(7),ZABANF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\ZABANF.ElmSubstat\WABANF(7).ElmTerm,2,10.0,69.0,1,1,5.571481227874756,4.774649143218994
69 kV Capacitor Payita,0,CIBAO NORESTE,NORTE,NORTE 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\69 kV Capacitor Payita.ElmShnt,WPAYIF(3),ZPAYIF,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\ZPAYIF.ElmSubstat\WPAYIF(3).ElmTerm,2,10.0,69.0,1,1,5.571481227874756,4.774649143218994
69 kV Sosúa 2 C1,0,CIBAO NORTE,NORTE,NORTE 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\69 kV Sosúa 2 C1.ElmShnt,1,ZSOSU2,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\ZSOSU2.ElmSubstat\1.ElmTerm,2,20.0,69.0,1,1,11.142962455749512,0.39788734912872314
69 kV La Vega PER C1,0,CIBAO SUR,NORTE,NORTE 69 kV,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\69 kV La Vega PER C1.ElmShnt,69 kV Tap La Vega PER C1_a,,\VM-PF.IntUser\PDD 31-12-2024.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 69 kV.ElmNet\69 kV Tap La Vega PER C1_a.ElmTerm,2,20.0,69.0,1,1,11.142962455749512,3.9788734912872314
