loc_name,for_name,ruta,barra(bus1),barra(bus1)_for,barra(bus1)_id,outserv,cpZone,cpArea,cpGrid,cCategory,cpSubstat,GPSlat,GPSlon,Inom,ngnum,sgn,cosn,pgini,qgini,usetp,av_mode,ip_ctrl,Pmax_uc,Pmin_uc,q_max,q_min,P_max,scale0,mode_inp,phtech,bustp,phiini
Girasol Grupo 1,G4PSGIR1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Girasol.ElmSite\Girasol Grupo 1.ElmGenstat,L2,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Girasol.ElmSite\ZGIRAK.ElmSubstat\L2.ElmTerm,1,SUR CERCANO,SUR,SUR 138 kV,Photovoltaic,,0.0,0.0,0.7631064057350159,12,3.799999952316284,0.949999988079071,0.0,0.0,1.0,constq,0,3.799999952316284,0.0,1.0,-1.0,3.609999895095825,1.0,PQ,0,PQ,0.0
Girasol Grupo 2,G4PSGIR2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Girasol.ElmSite\Girasol Grupo 2.ElmGenstat,R1,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Girasol.ElmSite\ZGIRAK.ElmSubstat\R1.ElmTerm,1,SUR CERCANO,SUR,SUR 138 kV,Photovoltaic,,0.0,0.0,1.0174752473831177,16,3.799999952316284,0.949999988079071,0.0,0.0,1.0,constq,0,3.799999952316284,0.0,1.0,-1.0,3.609999895095825,1.0,PQ,0,PQ,0.0
Santanasol,G3SANTAS,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Santanasol.ElmSite\Santanasol.ElmGenstat,Terminal Santanasol,WSANTK,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Santanasol.ElmSite\Terminal Santanasol.ElmTerm,1,SUR CERCANO,SUR,SUR 138 kV,Photovoltaic,,0.0,0.0,0.9538830518722534,15,3.799999952316284,1.0,0.0,0.0,1.0,constq,0,3.799999952316284,0.0,0.33000001311302185,-0.33000001311302185,3.799999952316284,1.0,PQ,0,PQ,0.0
PF Calabaza 1,G3PFCALA,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Calabaza.ElmSite\PF Calabaza 1.ElmGenstat,Terminal PF Calabaza 1,WXCA1K,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Calabaza.ElmSite\Terminal PF Calabaza 1.ElmTerm,1,SUR CERCANO,SUR,SUR 138 kV,Photovoltaic,,0.0,0.0,0.9934441447257996,17,3.492000102996826,0.8519999980926514,0.0,0.0,1.0,constq,0,3.492000102996826,0.0,0.43580129742622375,-0.43580129742622375,2.9751839637756348,1.0,PQ,0,PQ,0.0
PE Matafongo 2,G3PEMAT2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\PE Matafongo 2.ElmGenstat,Terminal Matafongo,WMTFNK,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Matafongo.ElmSite\Terminal Matafongo.ElmTerm,0,SUR CERCANO,SUR,SUR 138 kV,Wind,,0.0,0.0,0.26106271147727966,3,5.199999809265137,1.0,0.03779999911785126,0.0,1.0,constq,0,5.199999809265137,0.0,0.328000009059906,-0.328000009059906,5.199999809265137,1.0,PQ,0,PQ,0.0
PE Matafongo,G3PEMATA,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\PE Matafongo.ElmGenstat,Terminal Matafongo,WMTFNK,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Matafongo.ElmSite\Terminal Matafongo.ElmTerm,0,SUR CERCANO,SUR,SUR 138 kV,Wind,,0.0,0.0,0.5689828991889954,17,2.0,1.0,0.014510000124573708,0.0,1.0,constq,0,2.0999999046325684,0.0,0.328000009059906,-0.328000009059906,2.0,1.0,PQ,0,PQ,0.0
PF Peravia I,G3PFPER1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\PF Peravia I.ElmGenstat,Terminal Peravia Solar 1,WPES1K,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Terminal Peravia Solar 1.ElmTerm,1,SUR MEDIO,SUR,SUR 138 kV,Photovoltaic,,0.0,0.0,1.1713684797286987,12,5.833000183105469,1.0,0.0,0.0,1.0,constq,0,5.833000183105469,0.0,0.6899999976158142,-0.6899999976158142,5.833000183105469,1.0,DEF,0,PQ,0.0
PF Peravia II,G3PFPER2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\PF Peravia II.ElmGenstat,Terminal Peravia Solar 2,WPES2K,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Terminal Peravia Solar 2.ElmTerm,1,SUR MEDIO,SUR,SUR 138 kV,Photovoltaic,,0.0,0.0,1.1713684797286987,12,5.833000183105469,1.0,0.0,0.0,1.0,constq,0,5.833000183105469,0.0,0.6899999976158142,-0.6899999976158142,5.833000183105469,1.0,DEF,0,PQ,0.0
SA PE Los Mina,G6PEMINA,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Los Mina 6.ElmSite\SA PE Los Mina.ElmGenstat,Terminal SA PE Los Mina,WXSALMK,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Terminal SA PE Los Mina.ElmTerm,0,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,Storage,,0.0,0.0,0.7633237242698669,1,5.5,1.0,1.000000013351432e-10,0.0,1.0,constq,0,5.5,0.0,1.0,-1.0,5.5,1.0,PC,0,PQ,0.0
Sistema Almacenamiento AES Andrés,G6AANDRE,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\AES Andrés.ElmSite\Sistema Almacenamiento AES Andrés.ElmGenstat,Terminal BESS AES Andrés,WXBAAK,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\AES Andrés.ElmSite\Terminal BESS AES Andrés.ElmTerm,0,,,CENTRAL 138 kV,Storage,,0.0,0.0,0.7633237242698669,1,5.5,1.0,1.000000013351432e-10,0.0,1.0,constq,0,5.5,0.0,1.0,-1.0,5.5,1.0,PC,0,PQ,0.0
PF Washington Capital 2,G3PFWCA2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Mata de Palma 2.ElmSite\PF Washington Capital 2.ElmGenstat,Terminal Washington Capital Solar Park 2,WXWC2K,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Mata de Palma 2.ElmSite\Terminal Washington Capital Solar Park 2.ElmTerm,1,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,Photovoltaic,,0.0,0.0,0.8367395401000977,8,6.25,1.0,0.0,0.0,1.0,constq,0,6.25,0.0,0.6342857480049133,-0.6342857480049133,6.25,1.0,PQ,0,PQ,0.0
PF Washington Capital 3,G3PFWCA3,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Mata de Palma 2.ElmSite\PF Washington Capital 3.ElmGenstat,Terminal Washington Capital Solar Park 3,WXWC3K,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Mata de Palma 2.ElmSite\Terminal Washington Capital Solar Park 3.ElmTerm,1,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,Photovoltaic,,0.0,0.0,0.8367395401000977,8,6.25,1.0,0.0,0.0,1.0,constq,0,6.25,0.0,0.6342857480049133,-0.6342857480049133,6.25,1.0,PQ,0,PQ,0.0
PF La Victoria,G3PFVICT,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\La Victoria.ElmSite\PF La Victoria.ElmGenstat,Terminal La Victoria,WLVICK,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\La Victoria.ElmSite\Terminal La Victoria.ElmTerm,1,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,Photovoltaic,,0.0,0.0,0.8367395401000977,8,6.25,1.0,0.0,0.0,1.0,constq,0,6.25,0.0,0.6342857480049133,-0.6342857480049133,6.25,1.0,PQ,0,PQ,0.0
Mirasol,G3PFMIRA,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Mirasol(1).ElmSite\Mirasol.ElmGenstat,Terminal Mirasol,WMIRAK,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Mirasol(1).ElmSite\Terminal Mirasol.ElmTerm,1,SANTO DOMINGO,CENTRAL,CENTRAL 138 kV,Photovoltaic,,0.0,0.0,1.6733787059783936,17,5.881999969482422,1.0,0.0,0.0,1.0,constq,0,5.881999969482422,0.0,0.6899999976158142,-0.6899999976158142,6.76430082321167,1.0,DEF,0,PQ,0.0
