loc_name,for_name,ruta,outserv,cpZone,cpArea,cpGrid,cpSubstat,typ_id
MONTE PLATA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\WMPLAF(6).ElmTerm\WBMPLAE(1).StaCubic\MONTE PLATA.ElmRelay,0,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPLAF,Freq. 6 Steps
Monte Plata Solar OV Relay,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\Monte Plata Solar OV Relay.ElmRelay,1,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPSOK,F59 Phase overvoltage
Monte Plata solar UV Relay,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\Monte Plata solar UV Relay.ElmRelay,1,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPSOK,F27 Phase undervoltage
Monte Plata solar FR Relay,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\ZMPSOK.ElmSubstat\5.ElmTerm\Cub_1.StaCubic\Monte Plata solar FR Relay.ElmRelay,1,ESTE CERCANO,ESTE,ESTE 69 kV,ZMPSOK,F81 Frequency
DESPACHO,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO.ElmRelay,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,ZDESPF,Freq. 6 Steps
DESPACHO dF/dt,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,ZDESPF,EDAC_Cargas_dF/dt
EDMAR 1 >f,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZEMARF.ElmSubstat\WEMARF(5).ElmTerm\WBEMARF(1).StaCubic\EDMAR 1 >f.ElmRelay,1,,CENTRAL,CENTRAL 69 kV,ZEMARF,Frq f>/dfdt
EDMAR 1 <f,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZEMARF.ElmSubstat\WEMARF(5).ElmTerm\WBEMARF(1).StaCubic\EDMAR 1 <f.ElmRelay,1,,CENTRAL,CENTRAL 69 kV,ZEMARF,Frq-U</f<
EDMAR 2 >f,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZEMARF.ElmSubstat\WEMARF(4).ElmTerm\WBEMARF(1).StaCubic\EDMAR 2 >f.ElmRelay,1,,CENTRAL,CENTRAL 69 kV,ZEMARF,Frq f>/dfdt
EDMAR 2 <f,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZEMARF.ElmSubstat\WEMARF(4).ElmTerm\WBEMARF(1).StaCubic\EDMAR 2 <f.ElmRelay,1,,CENTRAL,CENTRAL 69 kV,ZEMARF,Frq-U</f<
Palamara FR Relay,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL1K.ElmSubstat\L2.ElmTerm\Cub_1.StaCubic\Palamara FR Relay.ElmRelay,1,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZPAL1K,F81 Frequency
Palamara OV Relay,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL1K.ElmSubstat\L2.ElmTerm\Cub_1.StaCubic\Palamara OV Relay.ElmRelay,1,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZPAL1K,F59 Phase overvoltage
Palamara UV Relay,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL1K.ElmSubstat\L2.ElmTerm\Cub_1.StaCubic\Palamara UV Relay.ElmRelay,1,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZPAL1K,F27 Phase undervoltage
Palamara FR Relay,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL1K.ElmSubstat\R1.ElmTerm\Cub_1.StaCubic\Palamara FR Relay.ElmRelay,1,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZPAL1K,F81 Frequency
Palamara UV Relay,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL1K.ElmSubstat\R1.ElmTerm\Cub_1.StaCubic\Palamara UV Relay.ElmRelay,1,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZPAL1K,F27 Phase undervoltage
Palamara OV Relay,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL1K.ElmSubstat\R1.ElmTerm\Cub_1.StaCubic\Palamara OV Relay.ElmRelay,1,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZPAL1K,F59 Phase overvoltage
Palamara FR Relay,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL3K.ElmSubstat\1.ElmTerm\Cub_1.StaCubic\Palamara FR Relay.ElmRelay,1,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZPAL3K,F81 Frequency
Palamara UV Relay,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL3K.ElmSubstat\1.ElmTerm\Cub_1.StaCubic\Palamara UV Relay.ElmRelay,1,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZPAL3K,F27 Phase undervoltage
Palamara OV Relay,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\ZPAL3K.ElmSubstat\1.ElmTerm\Cub_1.StaCubic\Palamara OV Relay.ElmRelay,1,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZPAL3K,F59 Phase overvoltage
CAPOTILLO,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZCAPOF.ElmSubstat\3.ElmTerm\Cub_1.StaCubic\CAPOTILLO.ElmRelay,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,ZCAPOF,Freq. 6 Steps
INVIVIENDA B,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZINVIF.ElmSubstat\L2.ElmTerm\Cub_1.StaCubic\INVIVIENDA B.ElmRelay,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZINVIF,Freq. 6 Steps
INVIVIENDA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZINVIF.ElmSubstat\R2.ElmTerm\Cub_1.StaCubic\INVIVIENDA.ElmRelay,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZINVIF,Freq. 6 Steps
KILOMETRO 10.5,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZKDMEF.ElmSubstat\L2.ElmTerm\Cub_1.StaCubic\KILOMETRO 10.5.ElmRelay,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZKDMEF,Freq. 6 Steps
KILOMETRO 10.5 B,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZKDMEF.ElmSubstat\R2.ElmTerm\Cub_1.StaCubic\KILOMETRO 10.5 B.ElmRelay,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZKDMEF,Freq. 6 Steps
KILOMETRO 10.5 B dF/dt,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZKDMEF.ElmSubstat\R2.ElmTerm\Cub_1.StaCubic\KILOMETRO 10.5 B dF/dt.ElmRelay,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZKDMEF,EDAC_Cargas_dF/dt
KILOMETRO 10.5 dF/dt,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZKDMEF.ElmSubstat\L3.ElmTerm\Cub_1.StaCubic\KILOMETRO 10.5 dF/dt.ElmRelay,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZKDMEF,EDAC_Cargas_dF/dt
LA CUARENTA,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZLCUAF.ElmSubstat\3.ElmTerm\Cub_1.StaCubic\LA CUARENTA.ElmRelay,0,DISTRITO NACIONAL,CENTRAL,CENTRAL 69 kV,ZLCUAF,Freq. 6 Steps
PALAK_TR1_DIST_50-51N,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Terminal Palamara.ElmTerm\Cub_1.StaCubic\PALAK_TR1_DIST_50-51N.ElmRelay,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,F50N_F51N Neutral overcurrent
PALAK_TR1_DIST_50-51,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Terminal Palamara.ElmTerm\Cub_1.StaCubic\PALAK_TR1_DIST_50-51.ElmRelay,0,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,F50_F51  Phase overcurrent
INCA km 22 UV Relay,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZINCAK.ElmSubstat\L1.ElmTerm\Cub_1.StaCubic\INCA km 22 UV Relay.ElmRelay,1,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZINCAK,F27 Phase undervoltage
INCA km 22 OV Relay,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZINCAK.ElmSubstat\L1.ElmTerm\Cub_1.StaCubic\INCA km 22 OV Relay.ElmRelay,1,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZINCAK,F59 Phase overvoltage
INCA km 22 FR Relay,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZINCAK.ElmSubstat\L1.ElmTerm\Cub_1.StaCubic\INCA km 22 FR Relay.ElmRelay,1,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZINCAK,F81 Frequency
INCA km 22 FR Relay,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZINCAK.ElmSubstat\L2.ElmTerm\Cub_1.StaCubic\INCA km 22 FR Relay.ElmRelay,1,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZINCAK,F81 Frequency
INCA km 22 OV Relay,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZINCAK.ElmSubstat\L2.ElmTerm\Cub_1.StaCubic\INCA km 22 OV Relay.ElmRelay,1,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZINCAK,F59 Phase overvoltage
INCA km 22 UV Relay,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZINCAK.ElmSubstat\L2.ElmTerm\Cub_1.StaCubic\INCA km 22 UV Relay.ElmRelay,1,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,ZINCAK,F27 Phase undervoltage
Maranatha FR Relay,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Maranatha.ElmSite\Terminal Maranatha.ElmTerm\Cub_1.StaCubic\Maranatha FR Relay.ElmRelay,1,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,F81 Frequency
Maranatha UV Relay,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Maranatha.ElmSite\Terminal Maranatha.ElmTerm\Cub_1.StaCubic\Maranatha UV Relay.ElmRelay,1,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,F27 Phase undervoltage
Maranatha OV Relay,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Maranatha.ElmSite\Terminal Maranatha.ElmTerm\Cub_1.StaCubic\Maranatha OV Relay.ElmRelay,1,SANTO DOMINGO,CENTRAL,CENTRAL 69 kV,,F59 Phase overvoltage
ZJSA2E_ZPAL1E-L1-7SA522,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E7.ElmTerm\Cub_1.StaCubic\ZJSA2E_ZPAL1E-L1-7SA522.ElmRelay,1,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,7SA522 1A
ZJSA2E_ZPAL1E-L1-7SJ62,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E7.ElmTerm\Cub_1.StaCubic\ZJSA2E_ZPAL1E-L1-7SJ62.ElmRelay,1,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,7SJ62_1-1A
ZJSA2E_ZPAL1E-L2-7SA522,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E8.ElmTerm\Cub_1.StaCubic\ZJSA2E_ZPAL1E-L2-7SA522.ElmRelay,1,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,7SA522 1A
ZJSA2E_ZPAL1E-L2-7SJ62,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E8.ElmTerm\Cub_1.StaCubic\ZJSA2E_ZPAL1E-L2-7SJ62.ElmRelay,1,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,7SJ62_1-1A
ZJSA1E_ZITAGE-L1-7SA522,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E3.ElmTerm\Cub_1.StaCubic\ZJSA1E_ZITAGE-L1-7SA522.ElmRelay,1,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,7SA522 1A
ZJSA1E_ZITAGE-L1-7SJ62,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E3.ElmTerm\Cub_1.StaCubic\ZJSA1E_ZITAGE-L1-7SJ62.ElmRelay,1,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,7SJ62_1-1A
ZJSA1E_ZITAGE-L2-7SA522,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E4.ElmTerm\Cub_1.StaCubic\ZJSA1E_ZITAGE-L2-7SA522.ElmRelay,1,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,7SA522 1A
ZJSA1E_ZITAGE-L2-7SJ62,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E4.ElmTerm\Cub_1.StaCubic\ZJSA1E_ZITAGE-L2-7SJ62.ElmRelay,1,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,7SJ62_1-1A
ZJSA1E_ZPARAE-L1-7SA522,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E9.ElmTerm\Cub_1.StaCubic\ZJSA1E_ZPARAE-L1-7SA522.ElmRelay,1,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,7SA522 1A
ZJSA1E_ZPARAE-L1-7SJ62,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E9.ElmTerm\Cub_1.StaCubic\ZJSA1E_ZPARAE-L1-7SJ62.ElmRelay,1,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,7SJ62_1-1A
ZJSA1E_ZITAGE-L2-7SA522,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E6(2).ElmTerm\Cub_1.StaCubic\ZJSA1E_ZITAGE-L2-7SA522.ElmRelay,1,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,7SA522 1A
ZJSA1E_ZITAGE-L2-7SJ62,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\E6(2).ElmTerm\Cub_1.StaCubic\ZJSA1E_ZITAGE-L2-7SJ62.ElmRelay,1,SUR CERCANO,SUR,Expansión 345 kV,ZJSAUD,7SJ62_1-1A
Quis 2 Mot UV Relay,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA2.ElmSubstat\E1.ElmTerm\Cub_1.StaCubic\Quis 2 Mot UV Relay.ElmRelay,1,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA2,F27 Phase undervoltage
Quis 2 Mot OV Relay,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA2.ElmSubstat\E1.ElmTerm\Cub_1.StaCubic\Quis 2 Mot OV Relay.ElmRelay,1,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA2,F59 Phase overvoltage
Quis 2 Mot Fr Relay,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA2.ElmSubstat\E1.ElmTerm\Cub_1.StaCubic\Quis 2 Mot Fr Relay.ElmRelay,1,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA2,F81 Frequency
Quis 2 Mot UV Relay,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA2.ElmSubstat\E15.ElmTerm\Cub_1.StaCubic\Quis 2 Mot UV Relay.ElmRelay,1,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA2,F27 Phase undervoltage
Quis 2 Mot OV Relay,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA2.ElmSubstat\E15.ElmTerm\Cub_1.StaCubic\Quis 2 Mot OV Relay.ElmRelay,1,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA2,F59 Phase overvoltage
Quis 2 Mot Fr Relay,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA2.ElmSubstat\E15.ElmTerm\Cub_1.StaCubic\Quis 2 Mot Fr Relay.ElmRelay,1,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA2,F81 Frequency
Quis 2 Mot UV Relay,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA2.ElmSubstat\E9.ElmTerm\Cub_1.StaCubic\Quis 2 Mot UV Relay.ElmRelay,1,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA2,F27 Phase undervoltage
Quis 2 Mot OV Relay,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA2.ElmSubstat\E9.ElmTerm\Cub_1.StaCubic\Quis 2 Mot OV Relay.ElmRelay,1,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA2,F59 Phase overvoltage
Quis 2 Mot Fr Relay,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA2.ElmSubstat\E9.ElmTerm\Cub_1.StaCubic\Quis 2 Mot Fr Relay.ElmRelay,1,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA2,F81 Frequency
Quis 2 TV Fr Relay,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA2.ElmSubstat\E13.ElmTerm\Cub_1.StaCubic\Quis 2 TV Fr Relay.ElmRelay,1,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA2,F81 Frequency
Quis 2 TV UV Relay,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA2.ElmSubstat\E13.ElmTerm\Cub_1.StaCubic\Quis 2 TV UV Relay.ElmRelay,1,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA2,F27 Phase undervoltage
Quis 2 TV OV Relay,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\TER QUISQUEYA2.ElmSubstat\E13.ElmTerm\Cub_1.StaCubic\Quis 2 TV OV Relay.ElmRelay,1,ESTE CERCANO,ESTE,Expansión 345 kV,TER QUISQUEYA2,F59 Phase overvoltage
ZQU21D_ZPBLAD-L1-REL670,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 2.ElmSubstat\7.ElmTerm\Cub_1.StaCubic\ZQU21D_ZPBLAD-L1-REL670.ElmRelay,1,ESTE CERCANO,ESTE,Expansión 345 kV,QUISQUEYA 2,REL 670
RPSB 78,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 2.ElmSubstat\7.ElmTerm\Cub_1.StaCubic\ZQU21D_ZPBLAD-L1-REL670.ElmRelay\RPSB 78.ElmRelay,0,ESTE CERCANO,ESTE,Expansión 345 kV,QUISQUEYA 2,RPSB 78
PDIF 87,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 2.ElmSubstat\7.ElmTerm\Cub_1.StaCubic\ZQU21D_ZPBLAD-L1-REL670.ElmRelay\PDIF 87.ElmRelay,0,ESTE CERCANO,ESTE,Expansión 345 kV,QUISQUEYA 2,PDIF 87
PIOC,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 2.ElmSubstat\7.ElmTerm\Cub_1.StaCubic\ZQU21D_ZPBLAD-L1-REL670.ElmRelay\PIOC.ElmRelay,0,ESTE CERCANO,ESTE,Expansión 345 kV,QUISQUEYA 2,PIOC
PTOC 51_67,,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\QUISQUEYA 2.ElmSubstat\7.ElmTerm\Cub_1.StaCubic\ZQU21D_ZPBLAD-L1-REL670.ElmRelay\PTOC 51_67.ElmRelay,0,ESTE CERCANO,ESTE,Expansión 345 kV,QUISQUEYA 2,PTOC 51_67
